exit2.c,66,0,40,1,26,14,9,22,32,23,54,169,0.14,7.14,1207.14,0.06,67.06,0,0,5,0,0,1,0.04,0,5,5,0.02,0
exit3.c,70,0,40,1,30,17,13,31,44,30,75,255,0.08,12.5,3187.5,0.09,177.08,2,1,5,0,0,2,0.07,0,5,2.5,0.03,0
exit4.c,201,0,99,1,102,38,23,144,185,61,329,1352,0.02,50,67600,0.45,3755.56,10,5,13,2,0,6,0.06,2.5,13,2.17,0.03,0
exit5.c,207,0,99,1,108,44,24,170,212,68,382,1611,0.02,50,80550,0.54,4475,10,5,19,2,0,6,0.06,2.5,19,3.17,0.03,0
expander-filter.c,421,52,9,0,360,183,27,908,1044,210,1952,10437,0.01,100,1043700,3.48,57983.33,86,43,93,26,4,40,0.11,1.65,93,2.33,0.1,0
eyal1.c,369,0,118,1,251,75,30,457,588,105,1045,4863,0.01,100,486300,1.62,27016.67,48,24,99,14,2,23,0.09,1.71,99,4.3,0.06,0
fastpos_table.c,521,2,1,1,518,29,6,8196,8196,35,16392,58279,0,0,0,19.43,0,0,0,0,0,0,1,0,0,0,0,0,0
fastpos_tablegen.c,58,12,12,1,34,26,18,71,80,44,151,571,0.04,25,14275,0.19,793.06,10,5,5,2,0,6,0.18,2.5,5,0.83,0.1,0
ff-audio-decoder.c,204,29,22,1,153,74,24,291,387,98,678,3108,0.02,50,155400,1.04,8633.33,52,26,32,23,3,24,0.16,1.13,32,1.33,0.12,0
ff-callbacks.c,63,0,15,1,48,19,10,82,105,29,187,629,0.05,20,12580,0.21,698.89,10,5,5,5,0,6,0.13,1,5,0.83,0.1,0
ff-circular-queue.c,142,16,15,1,111,46,24,202,276,70,478,2030,0.02,50,101500,0.68,5638.89,12,6,28,5,0,7,0.06,1.2,28,4,0.05,0
ff-clock.c,142,13,18,1,111,59,25,180,268,84,448,1985,0.03,33.33,66166.67,0.66,3675.93,24,12,25,11,1,12,0.11,1.09,25,2.08,0.08,0
ff-decoder.c,388,64,48,1,276,158,32,579,736,190,1315,6899,0.02,50,344950,2.3,19163.89,80,40,59,38,9,32,0.12,1.05,59,1.84,0.08,0
ff-demuxer.c,629,99,22,1,508,219,33,1061,1358,252,2419,13375,0.01,100,1337500,4.46,74305.56,198,99,89,95,16,82,0.16,1.04,89,1.09,0.13,0
ff-packet-queue.c,159,24,15,1,120,56,24,234,321,80,555,2432,0.02,50,121600,0.81,6755.56,28,14,26,12,3,12,0.1,1.17,26,2.17,0.08,0
ff-threading-posix.c,29,0,15,1,14,6,6,10,16,12,26,64,0.2,5,320,0.02,17.78,0,0,2,0,0,1,0.07,0,2,2,0.03,0
ff-threading-windows.c,33,0,15,1,18,5,5,8,14,10,22,50,0.25,4,200,0.02,11.11,0,0,2,0,0,1,0.06,0,2,2,0.03,0
ff-timer.c,147,15,19,1,113,56,26,208,281,82,489,2154,0.02,50,107700,0.72,5983.33,26,13,31,12,1,13,0.12,1.08,31,2.38,0.09,0
ff-util.c,428,46,19,1,363,106,27,545,805,133,1350,6601,0.01,100,660100,2.2,36672.22,142,71,29,63,24,45,0.12,1.13,29,0.64,0.11,0
ff-video-decoder.c,153,18,32,1,103,64,20,193,246,84,439,1945,0.03,33.33,64833.33,0.65,3601.85,26,13,23,12,1,13,0.13,1.08,23,1.77,0.08,0
ffmpeg-decode.c,264,40,16,1,208,147,29,464,586,176,1050,5429,0.02,50,271450,1.81,15080.56,116,58,32,55,5,51,0.25,1.05,32,0.63,0.19,0
ffmpeg-mux.c,707,119,23,1,565,251,35,1307,1761,286,3068,17352,0.01,100,1735200,5.78,96400,174,87,129,76,5,83,0.15,1.14,129,1.55,0.12,0
file-serializer.c,176,18,16,1,142,67,21,281,371,88,652,2919,0.02,50,145950,0.97,8108.33,32,16,25,16,2,13,0.09,1,25,1.92,0.07,0
file-updater.c,578,120,5,0,453,212,28,1068,1359,240,2427,13301,0.01,100,1330100,4.43,73894.44,102,51,160,50,0,52,0.11,1.02,160,3.08,0.09,0
filter_buffer_decoder.c,90,14,31,1,45,38,15,111,134,53,245,972,0.05,20,19440,0.32,1080,20,10,0,10,4,7,0.16,1,0,0,0.08,0
filter_buffer_encoder.c,57,9,18,1,30,33,15,73,82,48,155,600,0.06,16.67,10000,0.2,555.56,8,4,0,4,1,4,0.13,1,0,0,0.07,0
filter_common.c,339,46,65,1,228,76,29,465,600,105,1065,4956,0.01,100,495600,1.65,27533.33,64,32,6,23,4,29,0.13,1.39,6,0.21,0.09,0
filter_decoder.c,186,27,22,1,137,74,20,200,290,94,490,2226,0.04,25,55650,0.74,3091.67,10,5,1,3,0,6,0.04,1.67,1,0.17,0.03,0
filter_encoder.c,290,22,62,1,206,93,23,333,467,116,800,3802,0.02,50,190100,1.27,10561.11,22,11,4,7,0,12,0.06,1.57,4,0.33,0.04,0
